eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.23,-2.180000066757202,64.0,nan,0.12860107421875,nan,nan,nan,-0.014363288879394531,1.0,256.0,252.3188544139848,16384.0
87.12,-2.75,65.0,0.0,0.0,2.7080507278442383,nan,nan,nan,2.0,512.0,502.80726989300456,32768.0
87.14,-2.8299999237060547,65.0,0.0,0.0,2.7080507278442383,nan,nan,nan,3.0,768.0,752.6825328269624,49152.0
89.44,-2.630000114440918,65.0,0.0,0.0,2.7080507278442383,nan,nan,nan,4.0,1024.0,1001.2305443959776,65536.0
81.32,-1.9800000190734863,65.0,0.0,0.0,2.7080507278442383,nan,nan,nan,5.0,1280.0,1249.786413099966,81920.0
77.65,-1.850000023841858,65.0,0.0,0.0,2.7080507278442383,nan,nan,nan,6.0,1536.0,1498.2442976789898,98304.0
81.94,-2.2100000381469727,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,7.0,1792.0,1745.4925757269957,114688.0
82.44,-2.2100000381469727,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,8.0,2048.0,1991.043778644991,131072.0
82.49,-2.5299999713897705,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,9.0,2304.0,2237.528006051958,147456.0
93.73,-2.759999990463257,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,10.0,2560.0,2482.363996840955,163840.0
84.98,-2.1500000953674316,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,11.0,2816.0,2726.9364538110094,180224.0
86.74,-2.690000057220459,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,12.0,3072.0,2972.848649977008,196608.0
81.38,-2.049999952316284,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,13.0,3328.0,3217.7089020349667,212992.0
88.27,-1.850000023841858,67.0,0.0,0.0,2.7080507278442383,nan,nan,nan,14.0,3584.0,3462.2237937309546,229376.0
86.26,-2.680000066757202,67.0,0.0,0.0,2.7080507278442383,nan,nan,nan,15.0,3840.0,3706.749545747007,245760.0
85.81,-1.9700000286102295,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,16.0,4096.0,3952.25757013401,262144.0
78.96,-2.049999952316284,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,17.0,4352.0,4197.674067065003,278528.0
81.59,-2.619999885559082,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,18.0,4608.0,4443.469979004993,294912.0
86.99,-3.3299999237060547,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,19.0,4864.0,4690.101503694954,311296.0
77.31,-2.440000057220459,66.0,0.0,0.0,2.7080507278442383,nan,nan,nan,20.0,5120.0,4936.91642232897,327680.0
